epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1189.41,0.78931,0.77562,0.85864,0.7129,0.63225,0.71475,0.54443,0.98784,2.09158,0.89395,0.00030602,0.00030602,0.00030602
43,1217.76,0.78149,0.77565,0.85446,0.72068,0.63186,0.7212,0.56991,0.99133,2.08112,0.89548,0.000297215,0.000297215,0.000297215
44,1246.13,0.77651,0.76961,0.85732,0.77265,0.60108,0.70887,0.55036,0.99701,2.15067,0.8975,0.000288411,0.000288411,0.000288411
45,1274.46,0.77372,0.75745,0.85521,0.76451,0.63913,0.71374,0.56169,0.98881,2.16904,0.8973,0.000279606,0.000279606,0.000279606
46,1302.79,0.78194,0.75727,0.85576,0.79443,0.60577,0.72967,0.56681,0.99819,2.22296,0.89857,0.000270802,0.000270802,0.000270802
47,1331.18,0.76451,0.74115,0.84913,0.71627,0.66935,0.72606,0.55911,0.99288,2.21524,0.8975,0.000261998,0.000261998,0.000261998
48,1359.44,0.76979,0.74028,0.85263,0.76161,0.6197,0.72132,0.56302,0.98948,2.16214,0.89386,0.000253193,0.000253193,0.000253193
49,1387.81,0.76895,0.73618,0.85372,0.78713,0.6288,0.73158,0.55719,0.99464,2.17084,0.89632,0.000244389,0.000244389,0.000244389
50,1416.13,0.76806,0.73114,0.85418,0.78788,0.63268,0.73384,0.56618,1.00093,2.11303,0.8979,0.000235584,0.000235584,0.000235584
51,1444.48,0.75835,0.71604,0.85191,0.77313,0.62005,0.71998,0.56473,0.9992,2.28275,0.89676,0.00022678,0.00022678,0.00022678
52,1472.87,0.76742,0.7257,0.85404,0.77788,0.60455,0.72004,0.56477,1.00282,2.40336,0.90005,0.000217976,0.000217976,0.000217976
53,1501.21,0.76098,0.7274,0.85218,0.7826,0.62636,0.73122,0.58014,0.99563,2.30965,0.89847,0.000209171,0.000209171,0.000209171
54,1529.55,0.75391,0.71246,0.84855,0.70309,0.62553,0.73219,0.56183,0.9981,2.27945,0.89849,0.000200367,0.000200367,0.000200367
55,1557.96,0.74573,0.69978,0.84815,0.65298,0.71957,0.69837,0.54449,0.99244,2.33411,0.89599,0.000191562,0.000191562,0.000191562
56,1586.29,0.74455,0.69615,0.84875,0.76449,0.61268,0.72901,0.57267,0.99841,2.43399,0.89754,0.000182758,0.000182758,0.000182758
57,1614.66,0.74977,0.68441,0.85002,0.77475,0.64351,0.7346,0.57622,0.992,2.27986,0.89649,0.000173954,0.000173954,0.000173954
58,1643.09,0.7496,0.69587,0.85089,0.73935,0.65787,0.72296,0.57023,1.00145,2.33204,0.8974,0.000165149,0.000165149,0.000165149
59,1671.36,0.74798,0.69889,0.84946,0.74545,0.63338,0.71491,0.56244,0.99007,2.29959,0.89455,0.000156345,0.000156345,0.000156345
60,1699.63,0.72881,0.67544,0.84892,0.73477,0.63336,0.72562,0.56967,1.00555,2.30207,0.90142,0.00014754,0.00014754,0.00014754
61,1727.99,0.73751,0.67301,0.84902,0.77067,0.60751,0.71573,0.55928,1.00333,2.3844,0.89846,0.000138736,0.000138736,0.000138736
62,1756.32,0.73897,0.65935,0.84896,0.77629,0.60003,0.71662,0.56169,1.00615,2.43145,0.8979,0.000129932,0.000129932,0.000129932
63,1784.7,0.73501,0.66297,0.84884,0.72783,0.64364,0.7162,0.5602,0.99636,2.39124,0.89699,0.000121127,0.000121127,0.000121127
64,1813.07,0.73372,0.66645,0.84928,0.76277,0.61311,0.72668,0.57153,0.99362,2.37747,0.89615,0.000112323,0.000112323,0.000112323
65,1841.42,0.73595,0.67472,0.84991,0.65633,0.66941,0.72848,0.57527,1.00294,2.3534,0.89889,0.000103518,0.000103518,0.000103518
66,1870.74,0.73468,0.61562,0.84408,0.70577,0.63831,0.71898,0.57527,1.00466,2.43624,0.90028,9.4714e-05,9.4714e-05,9.4714e-05
67,1898.74,0.71968,0.57589,0.84279,0.68812,0.64468,0.72417,0.56565,1.00137,2.55671,0.89796,8.59096e-05,8.59096e-05,8.59096e-05
68,1926.71,0.71189,0.54209,0.83997,0.72652,0.65212,0.72902,0.57438,1.00242,2.55382,0.89754,7.71052e-05,7.71052e-05,7.71052e-05
69,1954.69,0.704,0.54119,0.83689,0.74691,0.633,0.72423,0.57664,1.00613,2.59497,0.90029,6.83008e-05,6.83008e-05,6.83008e-05
70,1982.7,0.70651,0.53696,0.83979,0.73582,0.6467,0.72579,0.57067,1.00467,2.60472,0.89891,5.94964e-05,5.94964e-05,5.94964e-05
71,2010.72,0.70665,0.52862,0.83813,0.73028,0.64806,0.73355,0.57879,0.99705,2.60021,0.89707,5.0692e-05,5.0692e-05,5.0692e-05
72,2038.7,0.70079,0.51749,0.83642,0.71728,0.65135,0.72361,0.57467,1.00372,2.67459,0.89914,4.18876e-05,4.18876e-05,4.18876e-05
73,2066.69,0.6969,0.51474,0.83514,0.6999,0.6655,0.72468,0.57589,1.0038,2.70684,0.89893,3.30832e-05,3.30832e-05,3.30832e-05
74,2094.7,0.69799,0.50561,0.83739,0.75691,0.63115,0.72708,0.57629,1.00398,2.70338,0.89954,2.42788e-05,2.42788e-05,2.42788e-05
75,2122.64,0.69369,0.5073,0.83803,0.74814,0.64699,0.72717,0.5771,1.00487,2.70892,0.90013,1.54744e-05,1.54744e-05,1.54744e-05
